Kabupaten Pamekasan	Rp10.000
Kabupaten Bojonegoro	Rp9.000
Kabupaten Sampang	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Surabaya	Rp8.500
Kota Malang	Rp8.500
Kota Batu	Rp8.375
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kota Madiun	Rp8.000
Kabupaten Gresik	Rp7.666
Kabupaten Pacitan	Rp7.666
Kabupaten Tulungagung	Rp7.666
Kabupaten Lamongan	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kota Blitar	Rp7.500
Kabupaten Banyuwangi	Rp7.400
Kabupaten Madiun	Rp7.375
Kota Kediri	Rp7.333
Kabupaten Kediri	Rp7.333
Kabupaten Ngawi	Rp7.333
Kabupaten Jombang	Rp7.000
Kabupaten Lumajang	Rp7.000
Kabupaten Situbondo	Rp6.833
Kabupaten Tuban	Rp6.833
Kabupaten Mojokerto	Rp6.650
Kabupaten Blitar	Rp6.500
Kabupaten Pasuruan	Rp6.500
Kabupaten Trenggalek	Rp6.500
Kota Mojokerto	Rp6.500
Kabupaten Nganjuk	Rp6.333
Kabupaten Magetan	Rp6.166
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp6.000
Kabupaten Jember	Rp5.800
Kota Pasuruan	Rp5.600
Kota Probolinggo	Rp5.333
Kabupaten Malang	Rp4.800
