Kabupaten Pamekasan	Rp10.000
Kabupaten Ponorogo	Rp8.500
Kabupaten Lumajang	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Batu	Rp8.125
Kota Surabaya	Rp8.000
Kabupaten Bojonegoro	Rp8.000
Kabupaten Gresik	Rp8.000
Kota Malang	Rp7.666
Kabupaten Ngawi	Rp7.666
Kabupaten Probolinggo	Rp7.666
Kabupaten Lamongan	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kota Blitar	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Pacitan	Rp7.333
Kabupaten Sampang	Rp7.250
Kabupaten Banyuwangi	Rp7.200
Kabupaten Magetan	Rp7.166
Kabupaten Tuban	Rp7.166
Kabupaten Sumenep	Rp7.000
Kabupaten Trenggalek	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Situbondo	Rp6.833
Kota Kediri	Rp6.666
Kabupaten Kediri	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Blitar	Rp6.500
Kabupaten Pasuruan	Rp6.500
Kabupaten Bangkalan	Rp6.333
Kota Madiun	Rp6.333
Kabupaten Jember	Rp5.800
Kabupaten Nganjuk	Rp5.666
Kabupaten Mojokerto	Rp5.500
Kota Pasuruan	Rp5.450
Kabupaten Bondowoso	Rp5.250
Kabupaten Malang	Rp5.200
Kota Probolinggo	Rp5.000
