Kabupaten Pamekasan	Rp9.500
Kabupaten Ponorogo	Rp8.500
Kabupaten Sampang	Rp8.500
Kota Batu	Rp8.375
Kabupaten Lumajang	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Surabaya	Rp8.000
Kabupaten Bojonegoro	Rp8.000
Kabupaten Gresik	Rp8.000
Kota Malang	Rp7.666
Kabupaten Ngawi	Rp7.666
Kabupaten Probolinggo	Rp7.666
Kabupaten Lamongan	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kabupaten Pacitan	Rp7.333
Kabupaten Banyuwangi	Rp7.200
Kabupaten Tuban	Rp7.166
Kota Kediri	Rp7.000
Kabupaten Jombang	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Trenggalek	Rp7.000
Kota Blitar	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Situbondo	Rp6.833
Kabupaten Kediri	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Blitar	Rp6.500
Kabupaten Pasuruan	Rp6.500
Kabupaten Bangkalan	Rp6.333
Kota Madiun	Rp6.333
Kabupaten Nganjuk	Rp5.666
Kabupaten Jember	Rp5.600
Kabupaten Mojokerto	Rp5.500
Kota Pasuruan	Rp5.450
Kabupaten Bondowoso	Rp5.250
Kabupaten Malang	Rp5.200
Kota Probolinggo	Rp4.333
