Kabupaten Pamekasan	Rp9.000
Kabupaten Gresik	Rp8.666
Kabupaten Lumajang	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kabupaten Madiun	Rp8.250
Kota Batu	Rp8.250
Kota Surabaya	Rp8.000
Kota Malang	Rp8.000
Kabupaten Blitar	Rp8.000
Kabupaten Pacitan	Rp8.000
Kabupaten Sampang	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kota Blitar	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Ngawi	Rp7.333
Kabupaten Banyuwangi	Rp7.200
Kabupaten Tuban	Rp7.166
Kabupaten Bojonegoro	Rp7.000
Kabupaten Kediri	Rp7.000
Kabupaten Magetan	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Situbondo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kota Madiun	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Lamongan	Rp6.750
Kota Kediri	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Mojokerto	Rp6.500
Kabupaten Bangkalan	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kota Pasuruan	Rp6.250
Kabupaten Pasuruan	Rp6.166
Kabupaten Jember	Rp6.000
Kabupaten Nganjuk	Rp5.666
Kabupaten Malang	Rp5.400
Kota Probolinggo	Rp5.333
Kabupaten Bondowoso	Rp5.250
