Kabupaten Pamekasan	Rp10.000
Kabupaten Lumajang	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kabupaten Madiun	Rp8.250
Kota Batu	Rp8.125
Kota Surabaya	Rp8.000
Kabupaten Bojonegoro	Rp8.000
Kabupaten Gresik	Rp8.000
Kota Malang	Rp7.666
Kabupaten Ngawi	Rp7.666
Kota Blitar	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Pacitan	Rp7.333
Kabupaten Sampang	Rp7.250
Kabupaten Banyuwangi	Rp7.200
Kabupaten Tuban	Rp7.166
Kota Kediri	Rp7.000
Kabupaten Lamongan	Rp7.000
Kabupaten Magetan	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Trenggalek	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Situbondo	Rp6.833
Kabupaten Kediri	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Blitar	Rp6.500
Kabupaten Pasuruan	Rp6.500
Kota Pasuruan	Rp6.350
Kabupaten Bangkalan	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kota Madiun	Rp6.333
Kabupaten Jember	Rp5.800
Kabupaten Nganjuk	Rp5.666
Kabupaten Mojokerto	Rp5.500
Kota Probolinggo	Rp5.333
Kabupaten Malang	Rp5.200
Kabupaten Bondowoso	Rp5.125
