Kabupaten Pamekasan	Rp10.000
Kabupaten Sampang	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Surabaya	Rp8.500
Kota Malang	Rp8.333
Kota Batu	Rp8.250
Kabupaten Bojonegoro	Rp8.000
Kabupaten Jombang	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Gresik	Rp7.666
Kabupaten Pacitan	Rp7.666
Kabupaten Lamongan	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kabupaten Banyuwangi	Rp7.400
Kabupaten Madiun	Rp7.375
Kabupaten Mojokerto	Rp7.375
Kabupaten Kediri	Rp7.333
Kabupaten Lumajang	Rp7.333
Kota Madiun	Rp7.333
Kabupaten Tulungagung	Rp7.000
Kabupaten Situbondo	Rp6.833
Kabupaten Tuban	Rp6.833
Kota Kediri	Rp6.666
Kabupaten Blitar	Rp6.500
Kabupaten Ngawi	Rp6.500
Kabupaten Trenggalek	Rp6.500
Kota Blitar	Rp6.500
Kota Mojokerto	Rp6.500
Kabupaten Pasuruan	Rp6.166
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp6.000
Kabupaten Nganjuk	Rp6.000
Kabupaten Magetan	Rp5.833
Kabupaten Jember	Rp5.800
Kota Probolinggo	Rp5.666
Kota Pasuruan	Rp5.450
Kabupaten Malang	Rp4.800
