Kabupaten Pamekasan	Rp9.500
Kabupaten Lumajang	Rp8.666
Kabupaten Sampang	Rp8.500
Kota Batu	Rp8.375
Kota Surabaya	Rp8.333
Kabupaten Madiun	Rp8.250
Kabupaten Bojonegoro	Rp8.000
Kabupaten Lamongan	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kota Malang	Rp7.666
Kabupaten Gresik	Rp7.666
Kabupaten Probolinggo	Rp7.666
Kabupaten Sidoarjo	Rp7.500
Kota Kediri	Rp7.333
Kabupaten Pacitan	Rp7.333
Kabupaten Banyuwangi	Rp7.100
Kabupaten Jombang	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Situbondo	Rp6.833
Kabupaten Tuban	Rp6.833
Kota Madiun	Rp6.833
Kabupaten Kediri	Rp6.666
Kabupaten Ngawi	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Blitar	Rp6.500
Kabupaten Trenggalek	Rp6.500
Kota Blitar	Rp6.500
Kota Mojokerto	Rp6.500
Kabupaten Pasuruan	Rp6.166
Kabupaten Bangkalan	Rp6.000
Kabupaten Magetan	Rp5.833
Kabupaten Mojokerto	Rp5.825
Kabupaten Jember	Rp5.800
Kabupaten Nganjuk	Rp5.666
Kota Pasuruan	Rp5.450
Kota Probolinggo	Rp5.333
Kabupaten Bondowoso	Rp5.250
Kabupaten Malang	Rp5.200
