Kabupaten Pamekasan	Rp10.000
Kabupaten Gresik	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kabupaten Trenggalek	Rp8.500
Kabupaten Lumajang	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Batu	Rp8.125
Kota Surabaya	Rp8.000
Kabupaten Bojonegoro	Rp8.000
Kota Malang	Rp7.833
Kabupaten Ngawi	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kota Blitar	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Pacitan	Rp7.333
Kabupaten Sampang	Rp7.250
Kabupaten Banyuwangi	Rp7.200
Kabupaten Tuban	Rp7.166
Kota Kediri	Rp7.000
Kabupaten Kediri	Rp7.000
Kabupaten Lamongan	Rp7.000
Kabupaten Magetan	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Tulungagung	Rp6.666
Kabupaten Situbondo	Rp6.500
Kota Mojokerto	Rp6.500
Kota Pasuruan	Rp6.350
Kabupaten Bangkalan	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kota Madiun	Rp6.333
Kabupaten Pasuruan	Rp6.166
Kabupaten Jember	Rp6.000
Kabupaten Nganjuk	Rp5.666
Kabupaten Mojokerto	Rp5.500
Kabupaten Malang	Rp5.400
Kota Probolinggo	Rp5.333
Kabupaten Bondowoso	Rp5.000
