Kabupaten Pamekasan	Rp10.500
Kabupaten Madiun	Rp9.500
Kabupaten Sampang	Rp8.500
Kota Batu	Rp8.375
Kota Surabaya	Rp8.333
Kabupaten Lumajang	Rp8.333
Kabupaten Bojonegoro	Rp8.000
Kabupaten Lamongan	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kota Malang	Rp7.666
Kota Kediri	Rp7.666
Kabupaten Gresik	Rp7.666
Kabupaten Probolinggo	Rp7.666
Kabupaten Sidoarjo	Rp7.500
Kabupaten Pacitan	Rp7.333
Kabupaten Banyuwangi	Rp7.200
Kabupaten Jombang	Rp7.000
Kabupaten Ngawi	Rp7.000
Kabupaten Sumenep	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Situbondo	Rp6.833
Kabupaten Tuban	Rp6.833
Kota Madiun	Rp6.833
Kabupaten Kediri	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Blitar	Rp6.500
Kabupaten Trenggalek	Rp6.500
Kota Blitar	Rp6.500
Kabupaten Pasuruan	Rp6.166
Kabupaten Mojokerto	Rp6.075
Kabupaten Bangkalan	Rp6.000
Kota Probolinggo	Rp6.000
Kabupaten Magetan	Rp5.833
Kabupaten Jember	Rp5.800
Kabupaten Nganjuk	Rp5.666
Kota Pasuruan	Rp5.450
Kabupaten Bondowoso	Rp5.250
Kabupaten Malang	Rp5.200
