Kabupaten Jember	Rp38.400
Kabupaten Bondowoso	Rp37.375
Kabupaten Banyuwangi	Rp35.600
Kabupaten Trenggalek	Rp35.500
Kota Batu	Rp35.500
Kabupaten Probolinggo	Rp35.333
Kabupaten Gresik	Rp35.000
Kabupaten Ngawi	Rp35.000
Kabupaten Sampang	Rp35.000
Kabupaten Magetan	Rp34.666
Kabupaten Situbondo	Rp34.666
Kabupaten Ponorogo	Rp34.500
Kabupaten Sumenep	Rp34.500
Kota Pasuruan	Rp34.500
Kabupaten Malang	Rp34.400
Kabupaten Pasuruan	Rp34.333
Kabupaten Lamongan	Rp34.000
Kabupaten Pamekasan	Rp34.000
Kota Mojokerto	Rp34.000
Kabupaten Tulungagung	Rp33.666
Kota Malang	Rp33.333
Kabupaten Bojonegoro	Rp32.500
Kabupaten Tuban	Rp32.333
Kota Madiun	Rp32.333
Kabupaten Madiun	Rp32.250
Kota Probolinggo	Rp31.666
Kabupaten Blitar	Rp31.500
Kabupaten Sidoarjo	Rp31.500
Kabupaten Lumajang	Rp31.333
Kabupaten Kediri	Rp29.666
Kabupaten Bangkalan	Rp29.333
Kota Blitar	Rp28.500
Kota Kediri	Rp28.333
Kabupaten Pacitan	Rp28.000
Kota Surabaya	Rp27.833
Kabupaten Nganjuk	Rp27.333
Kabupaten Jombang	Rp26.000
Kabupaten Mojokerto	Rp25.500
