Kabupaten Sidoarjo	Rp12.000
Kabupaten Malang	Rp11.000
Kota Surabaya	Rp10.100
Kota Madiun	Rp10.000
Kabupaten Madiun	Rp9.750
Kota Blitar	Rp9.750
Kabupaten Lumajang	Rp9.666
Kabupaten Situbondo	Rp9.666
Kabupaten Sampang	Rp9.500
Kabupaten Trenggalek	Rp9.500
Kabupaten Bondowoso	Rp9.375
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Ngawi	Rp9.333
Kabupaten Jember	Rp9.125
Kabupaten Gresik	Rp9.000
Kabupaten Nganjuk	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp9.000
Kabupaten Banyuwangi	Rp8.800
Kabupaten Lamongan	Rp8.750
Kabupaten Jombang	Rp8.666
Kota Pasuruan	Rp8.650
Kota Kediri	Rp8.500
Kabupaten Kediri	Rp8.500
Kabupaten Pacitan	Rp8.166
Kabupaten Pasuruan	Rp8.166
Kabupaten Ponorogo	Rp8.000
Kota Mojokerto	Rp8.000
Kabupaten Tuban	Rp7.666
Kabupaten Mojokerto	Rp7.250
Kabupaten Bojonegoro	Rp7.000
Kabupaten Magetan	Rp7.000
Kabupaten Tulungagung	Rp7.000
Kabupaten Probolinggo	Rp6.666
Kota Probolinggo	Rp6.666
Kabupaten Blitar	Rp6.000
