Kabupaten Pamekasan	Rp17.500
Kabupaten Gresik	Rp17.333
Kabupaten Sampang	Rp16.500
Kabupaten Ngawi	Rp16.000
Kabupaten Ponorogo	Rp16.000
Kabupaten Sidoarjo	Rp15.500
Kota Kediri	Rp15.000
Kabupaten Bojonegoro	Rp15.000
Kabupaten Jombang	Rp15.000
Kota Mojokerto	Rp14.500
Kabupaten Magetan	Rp14.333
Kabupaten Nganjuk	Rp14.000
Kabupaten Pasuruan	Rp14.000
Kabupaten Kediri	Rp13.666
Kabupaten Tulungagung	Rp13.333
Kota Batu	Rp13.000
Kabupaten Lamongan	Rp12.500
Kota Blitar	Rp12.500
Kota Surabaya	Rp12.333
Kabupaten Mojokerto	Rp12.250
Kabupaten Pacitan	Rp12.000
Kota Pasuruan	Rp12.000
Kabupaten Malang	Rp10.900
Kota Madiun	Rp10.333
Kabupaten Sumenep	Rp10.000
Kabupaten Trenggalek	Rp10.000
Kota Probolinggo	Rp10.000
Kabupaten Madiun	Rp9.500
Kota Malang	Rp9.166
Kabupaten Situbondo	Rp9.000
Kabupaten Banyuwangi	Rp8.800
Kabupaten Jember	Rp8.600
Kabupaten Blitar	Rp8.500
Kabupaten Lumajang	Rp8.000
Kabupaten Bangkalan	Rp7.666
Kabupaten Tuban	Rp7.666
Kabupaten Probolinggo	Rp7.000
Kabupaten Bondowoso	Rp6.750
