Kabupaten Sampang	Rp14.500
Kabupaten Pamekasan	Rp12.000
Kabupaten Pacitan	Rp11.333
Kabupaten Sidoarjo	Rp11.000
Kabupaten Ponorogo	Rp10.500
Kabupaten Trenggalek	Rp10.500
Kota Mojokerto	Rp10.500
Kabupaten Nganjuk	Rp10.333
Kabupaten Tulungagung	Rp10.333
Kota Kediri	Rp10.000
Kabupaten Gresik	Rp10.000
Kabupaten Jombang	Rp10.000
Kabupaten Ngawi	Rp10.000
Kota Blitar	Rp10.000
Kota Batu	Rp9.750
Kabupaten Magetan	Rp9.666
Kota Malang	Rp9.500
Kabupaten Pasuruan	Rp9.233
Kota Surabaya	Rp9.000
Kabupaten Bojonegoro	Rp9.000
Kabupaten Kediri	Rp9.000
Kabupaten Lamongan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Pasuruan	Rp9.000
Kabupaten Malang	Rp8.300
Kabupaten Madiun	Rp8.250
Kabupaten Mojokerto	Rp8.250
Kota Madiun	Rp8.000
Kabupaten Tuban	Rp7.666
Kota Probolinggo	Rp7.666
Kabupaten Banyuwangi	Rp7.600
Kabupaten Jember	Rp7.400
Kabupaten Lumajang	Rp7.333
Kabupaten Situbondo	Rp7.333
Kabupaten Blitar	Rp7.000
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
