Kabupaten Sampang	Rp17.000
Kabupaten Pamekasan	Rp10.000
Kota Kediri	Rp9.666
Kabupaten Pacitan	Rp9.333
Kabupaten Ngawi	Rp9.000
Kabupaten Tulungagung	Rp9.000
Kota Batu	Rp9.000
Kota Blitar	Rp9.000
Kabupaten Gresik	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kota Surabaya	Rp8.333
Kabupaten Madiun	Rp8.250
Kabupaten Blitar	Rp8.000
Kabupaten Bojonegoro	Rp8.000
Kabupaten Jombang	Rp8.000
Kabupaten Nganjuk	Rp8.000
Kota Mojokerto	Rp8.000
Kota Malang	Rp7.666
Kabupaten Lumajang	Rp7.666
Kota Madiun	Rp7.666
Kabupaten Magetan	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Lamongan	Rp7.375
Kabupaten Mojokerto	Rp7.375
Kabupaten Kediri	Rp7.333
Kabupaten Pasuruan	Rp7.166
Kabupaten Tuban	Rp7.166
Kabupaten Banyuwangi	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Situbondo	Rp6.666
Kabupaten Probolinggo	Rp6.333
Kabupaten Jember	Rp6.000
Kabupaten Bangkalan	Rp6.000
Kota Pasuruan	Rp5.950
Kabupaten Malang	Rp5.600
Kota Probolinggo	Rp5.333
Kabupaten Bondowoso	Rp5.125
