Kabupaten Pamekasan	Rp13.500
Kabupaten Sampang	Rp12.500
Kota Kediri	Rp12.000
Kabupaten Ponorogo	Rp11.000
Kabupaten Ngawi	Rp10.666
Kabupaten Mojokerto	Rp10.375
Kabupaten Nganjuk	Rp10.333
Kabupaten Tulungagung	Rp10.000
Kota Blitar	Rp10.000
Kabupaten Pasuruan	Rp9.666
Kota Madiun	Rp9.666
Kota Batu	Rp9.500
Kota Surabaya	Rp9.333
Kabupaten Gresik	Rp9.333
Kabupaten Kediri	Rp9.333
Kabupaten Pacitan	Rp9.333
Kabupaten Bojonegoro	Rp9.000
Kabupaten Jombang	Rp9.000
Kabupaten Sumenep	Rp9.000
Kabupaten Magetan	Rp8.833
Kabupaten Sidoarjo	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Lamongan	Rp8.250
Kabupaten Madiun	Rp8.250
Kabupaten Lumajang	Rp8.000
Kota Pasuruan	Rp7.900
Kabupaten Banyuwangi	Rp7.800
Kota Malang	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Jember	Rp7.400
Kabupaten Tuban	Rp7.333
Kabupaten Malang	Rp7.100
Kota Probolinggo	Rp7.000
Kabupaten Situbondo	Rp6.666
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
