Kabupaten Sampang	Rp13.000
Kabupaten Pamekasan	Rp12.000
Kabupaten Magetan	Rp11.666
Kota Blitar	Rp10.500
Kabupaten Tulungagung	Rp9.666
Kabupaten Ngawi	Rp9.333
Kabupaten Pacitan	Rp9.333
Kabupaten Pasuruan	Rp9.233
Kota Surabaya	Rp9.000
Kabupaten Jombang	Rp9.000
Kabupaten Sidoarjo	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp8.750
Kota Kediri	Rp8.666
Kabupaten Gresik	Rp8.666
Kabupaten Kediri	Rp8.666
Kabupaten Nganjuk	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kabupaten Lumajang	Rp8.333
Kabupaten Madiun	Rp8.250
Kabupaten Bojonegoro	Rp8.000
Kota Madiun	Rp8.000
Kota Mojokerto	Rp8.000
Kota Malang	Rp7.666
Kabupaten Situbondo	Rp7.666
Kabupaten Banyuwangi	Rp7.600
Kabupaten Blitar	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Lamongan	Rp7.375
Kabupaten Mojokerto	Rp7.350
Kabupaten Jember	Rp7.000
Kabupaten Tuban	Rp7.000
Kota Pasuruan	Rp6.900
Kabupaten Probolinggo	Rp6.333
Kabupaten Malang	Rp6.200
Kabupaten Bangkalan	Rp6.000
Kota Probolinggo	Rp6.000
Kabupaten Bondowoso	Rp5.250
