Kabupaten Sampang	Rp20.500
Kabupaten Pamekasan	Rp10.000
Kota Blitar	Rp9.500
Kabupaten Ngawi	Rp9.333
Kota Kediri	Rp8.666
Kabupaten Gresik	Rp8.666
Kabupaten Tulungagung	Rp8.666
Kota Batu	Rp8.625
Kabupaten Pacitan	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Madiun	Rp8.250
Kota Surabaya	Rp8.166
Kabupaten Bojonegoro	Rp8.000
Kota Madiun	Rp8.000
Kota Malang	Rp7.666
Kabupaten Jombang	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Lamongan	Rp7.500
Kabupaten Ponorogo	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Mojokerto	Rp7.350
Kabupaten Kediri	Rp7.333
Kabupaten Nganjuk	Rp7.333
Kabupaten Pasuruan	Rp7.166
Kabupaten Tuban	Rp7.166
Kabupaten Lumajang	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Banyuwangi	Rp6.900
Kabupaten Magetan	Rp6.833
Kabupaten Situbondo	Rp6.666
Kabupaten Sidoarjo	Rp6.500
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kota Pasuruan	Rp5.950
Kabupaten Jember	Rp5.800
Kabupaten Malang	Rp5.600
Kota Probolinggo	Rp5.333
Kabupaten Bondowoso	Rp5.125
