Kabupaten Pamekasan	Rp13.500
Kabupaten Sampang	Rp11.500
Kabupaten Ponorogo	Rp11.000
Kabupaten Mojokerto	Rp10.600
Kabupaten Nganjuk	Rp10.333
Kabupaten Tulungagung	Rp10.333
Kabupaten Bojonegoro	Rp10.000
Kabupaten Gresik	Rp10.000
Kabupaten Ngawi	Rp10.000
Kabupaten Pacitan	Rp10.000
Kabupaten Pasuruan	Rp10.000
Kabupaten Trenggalek	Rp10.000
Kota Blitar	Rp10.000
Kota Batu	Rp9.750
Kabupaten Magetan	Rp9.666
Kota Kediri	Rp9.333
Kabupaten Jombang	Rp9.333
Kota Madiun	Rp9.333
Kota Surabaya	Rp9.000
Kabupaten Kediri	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Pasuruan	Rp8.700
Kota Malang	Rp8.666
Kabupaten Blitar	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Lamongan	Rp8.250
Kabupaten Madiun	Rp8.250
Kabupaten Sidoarjo	Rp8.000
Kabupaten Lumajang	Rp7.666
Kabupaten Tuban	Rp7.666
Kabupaten Banyuwangi	Rp7.600
Kota Probolinggo	Rp7.333
Kabupaten Malang	Rp7.300
Kabupaten Situbondo	Rp6.666
Kabupaten Jember	Rp6.600
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
