Kabupaten Sampang	Rp13.000
Kota Blitar	Rp11.000
Kabupaten Magetan	Rp10.833
Kabupaten Pamekasan	Rp10.000
Kabupaten Tulungagung	Rp9.666
Kota Kediri	Rp9.333
Kabupaten Pacitan	Rp9.333
Kabupaten Ngawi	Rp9.000
Kabupaten Sumenep	Rp9.000
Kabupaten Gresik	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kota Batu	Rp8.500
Kota Surabaya	Rp8.333
Kabupaten Kediri	Rp8.333
Kabupaten Madiun	Rp8.250
Kabupaten Pasuruan	Rp8.233
Kabupaten Bojonegoro	Rp8.000
Kabupaten Jombang	Rp8.000
Kabupaten Lumajang	Rp8.000
Kabupaten Nganjuk	Rp8.000
Kabupaten Sidoarjo	Rp8.000
Kota Madiun	Rp8.000
Kota Mojokerto	Rp8.000
Kota Malang	Rp7.666
Kabupaten Situbondo	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Banyuwangi	Rp7.400
Kabupaten Lamongan	Rp7.375
Kabupaten Mojokerto	Rp7.375
Kabupaten Jember	Rp7.000
Kabupaten Tuban	Rp7.000
Kabupaten Probolinggo	Rp6.333
Kabupaten Malang	Rp6.200
Kabupaten Bangkalan	Rp6.000
Kota Probolinggo	Rp6.000
Kota Pasuruan	Rp5.950
Kabupaten Bondowoso	Rp5.250
