Kabupaten Pamekasan	Rp13.500
Kabupaten Sampang	Rp13.000
Kabupaten Ngawi	Rp12.333
Kota Blitar	Rp12.000
Kota Kediri	Rp11.000
Kabupaten Ponorogo	Rp11.000
Kabupaten Kediri	Rp10.000
Kabupaten Tulungagung	Rp10.000
Kota Surabaya	Rp9.833
Kota Batu	Rp9.750
Kabupaten Mojokerto	Rp9.625
Kabupaten Gresik	Rp9.333
Kabupaten Pacitan	Rp9.333
Kabupaten Bojonegoro	Rp9.000
Kabupaten Jombang	Rp9.000
Kabupaten Nganjuk	Rp9.000
Kabupaten Sumenep	Rp9.000
Kabupaten Pasuruan	Rp8.900
Kabupaten Magetan	Rp8.833
Kota Madiun	Rp8.666
Kota Mojokerto	Rp8.500
Kabupaten Lamongan	Rp8.250
Kabupaten Madiun	Rp8.250
Kabupaten Lumajang	Rp8.000
Kabupaten Sidoarjo	Rp8.000
Kota Pasuruan	Rp7.900
Kabupaten Jember	Rp7.800
Kabupaten Banyuwangi	Rp7.800
Kota Malang	Rp7.666
Kabupaten Trenggalek	Rp7.500
Kabupaten Tuban	Rp7.333
Kabupaten Malang	Rp7.100
Kabupaten Blitar	Rp7.000
Kabupaten Situbondo	Rp6.666
Kota Probolinggo	Rp6.666
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
