Kota Blitar	Rp32.000
Kabupaten Pamekasan	Rp31.000
Kabupaten Tulungagung	Rp30.333
Kabupaten Blitar	Rp30.000
Kabupaten Bojonegoro	Rp30.000
Kabupaten Sampang	Rp30.000
Kota Batu	Rp30.000
Kabupaten Banyuwangi	Rp29.700
Kota Surabaya	Rp29.166
Kabupaten Madiun	Rp29.000
Kabupaten Magetan	Rp29.000
Kabupaten Pacitan	Rp29.000
Kabupaten Probolinggo	Rp29.000
Kota Probolinggo	Rp29.000
Kota Malang	Rp28.750
Kabupaten Ponorogo	Rp28.500
Kabupaten Trenggalek	Rp28.500
Kabupaten Gresik	Rp28.333
Kabupaten Lamongan	Rp28.250
Kabupaten Nganjuk	Rp28.000
Kabupaten Sidoarjo	Rp28.000
Kota Madiun	Rp28.000
Kota Mojokerto	Rp28.000
Kabupaten Pasuruan	Rp27.900
Kota Kediri	Rp27.666
Kabupaten Kediri	Rp27.666
Kabupaten Lumajang	Rp27.666
Kabupaten Ngawi	Rp27.666
Kabupaten Jember	Rp27.600
Kabupaten Jombang	Rp27.333
Kabupaten Mojokerto	Rp27.262
Kabupaten Bangkalan	Rp27.000
Kabupaten Situbondo	Rp27.000
Kabupaten Sumenep	Rp27.000
Kabupaten Tuban	Rp27.000
Kabupaten Bondowoso	Rp26.875
Kabupaten Malang	Rp26.800
Kota Pasuruan	Rp26.300
