Kabupaten Sidoarjo	Rp13.000
Kabupaten Sampang	Rp11.000
Kota Surabaya	Rp10.700
Kota Mojokerto	Rp10.500
Kabupaten Nganjuk	Rp9.833
Kota Madiun	Rp9.833
Kota Blitar	Rp9.750
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Kediri	Rp9.333
Kabupaten Bondowoso	Rp9.250
Kabupaten Gresik	Rp9.000
Kabupaten Lamongan	Rp9.000
Kabupaten Lumajang	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kota Batu	Rp9.000
Kabupaten Trenggalek	Rp8.750
Kota Pasuruan	Rp8.650
Kabupaten Jember	Rp8.625
Kota Kediri	Rp8.500
Kabupaten Magetan	Rp8.500
Kabupaten Banyuwangi	Rp8.400
Kabupaten Jombang	Rp8.166
Kabupaten Pasuruan	Rp8.166
Kabupaten Malang	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kabupaten Sumenep	Rp7.750
Kabupaten Situbondo	Rp7.666
Kabupaten Tuban	Rp7.666
Kota Probolinggo	Rp7.500
Kabupaten Madiun	Rp7.250
Kabupaten Ngawi	Rp7.166
Kabupaten Mojokerto	Rp7.000
Kabupaten Pacitan	Rp7.000
Kabupaten Tulungagung	Rp7.000
Kabupaten Probolinggo	Rp6.666
Kabupaten Bojonegoro	Rp6.500
Kabupaten Blitar	Rp6.000
