Kabupaten Sidoarjo	Rp13.000
Kabupaten Sampang	Rp10.750
Kabupaten Malang	Rp10.600
Kota Madiun	Rp10.000
Kota Blitar	Rp9.750
Kota Surabaya	Rp9.700
Kabupaten Kediri	Rp9.666
Kabupaten Nganjuk	Rp9.666
Kabupaten Ngawi	Rp9.666
Kabupaten Madiun	Rp9.500
Kabupaten Trenggalek	Rp9.500
Kota Mojokerto	Rp9.500
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Jember	Rp9.125
Kabupaten Bondowoso	Rp9.125
Kabupaten Gresik	Rp9.000
Kabupaten Lumajang	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp9.000
Kabupaten Jombang	Rp8.833
Kabupaten Banyuwangi	Rp8.800
Kabupaten Lamongan	Rp8.750
Kabupaten Magetan	Rp8.733
Kota Pasuruan	Rp8.650
Kota Kediri	Rp8.500
Kabupaten Pasuruan	Rp8.166
Kabupaten Situbondo	Rp8.166
Kabupaten Ponorogo	Rp8.000
Kabupaten Tuban	Rp7.666
Kabupaten Pacitan	Rp7.166
Kabupaten Mojokerto	Rp7.125
Kabupaten Tulungagung	Rp7.000
Kota Probolinggo	Rp6.833
Kabupaten Probolinggo	Rp6.666
Kabupaten Bojonegoro	Rp6.500
Kabupaten Blitar	Rp6.000
