Kabupaten Sidoarjo	Rp13.000
Kabupaten Sampang	Rp11.000
Kota Mojokerto	Rp10.500
Kabupaten Nganjuk	Rp10.000
Kota Madiun	Rp9.833
Kota Blitar	Rp9.750
Kota Surabaya	Rp9.700
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Kediri	Rp9.333
Kabupaten Gresik	Rp9.000
Kabupaten Lamongan	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Jember	Rp8.875
Kabupaten Bondowoso	Rp8.875
Kota Batu	Rp8.875
Kabupaten Lumajang	Rp8.833
Kota Pasuruan	Rp8.650
Kabupaten Magetan	Rp8.500
Kabupaten Trenggalek	Rp8.500
Kabupaten Banyuwangi	Rp8.400
Kabupaten Jombang	Rp8.166
Kabupaten Pasuruan	Rp8.166
Kabupaten Malang	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kota Kediri	Rp7.750
Kabupaten Sumenep	Rp7.750
Kabupaten Tuban	Rp7.666
Kota Probolinggo	Rp7.500
Kabupaten Situbondo	Rp7.333
Kabupaten Ngawi	Rp7.166
Kabupaten Mojokerto	Rp7.000
Kabupaten Tulungagung	Rp7.000
Kabupaten Pacitan	Rp6.833
Kabupaten Probolinggo	Rp6.666
Kabupaten Bojonegoro	Rp6.500
Kabupaten Madiun	Rp6.250
Kabupaten Blitar	Rp6.000
