Kabupaten Sampang	Rp11.000
Kabupaten Pamekasan	Rp10.000
Kabupaten Bojonegoro	Rp9.000
Kabupaten Gresik	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Malang	Rp8.666
Kota Surabaya	Rp8.500
Kota Batu	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Lamongan	Rp8.375
Kabupaten Lumajang	Rp8.333
Kabupaten Pacitan	Rp8.333
Kabupaten Kediri	Rp8.000
Kabupaten Madiun	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Trenggalek	Rp8.000
Kabupaten Tuban	Rp7.833
Kabupaten Jombang	Rp7.666
Kabupaten Ngawi	Rp7.666
Kabupaten Situbondo	Rp7.666
Kota Madiun	Rp7.666
Kota Pasuruan	Rp7.650
Kabupaten Banyuwangi	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kota Kediri	Rp7.333
Kabupaten Bangkalan	Rp7.333
Kabupaten Tulungagung	Rp7.333
Kabupaten Magetan	Rp7.166
Kabupaten Blitar	Rp7.000
Kabupaten Bondowoso	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Nganjuk	Rp6.666
Kabupaten Pasuruan	Rp6.666
Kabupaten Jember	Rp6.600
Kabupaten Mojokerto	Rp6.212
Kabupaten Malang	Rp6.000
Kota Probolinggo	Rp6.000
