Kabupaten Pamekasan	Rp12.000
Kabupaten Gresik	Rp10.666
Kabupaten Sampang	Rp10.500
Kabupaten Bangkalan	Rp10.000
Kabupaten Bojonegoro	Rp10.000
Kabupaten Lamongan	Rp9.750
Kabupaten Jember	Rp9.700
Kota Kediri	Rp9.666
Kabupaten Pacitan	Rp9.666
Kabupaten Trenggalek	Rp9.500
Kabupaten Kediri	Rp9.333
Kabupaten Nganjuk	Rp9.333
Kota Madiun	Rp9.333
Kota Batu	Rp9.250
Kota Pasuruan	Rp9.250
Kota Surabaya	Rp9.166
Kota Malang	Rp9.000
Kabupaten Jombang	Rp9.000
Kabupaten Madiun	Rp9.000
Kabupaten Malang	Rp9.000
Kabupaten Mojokerto	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Blitar	Rp9.000
Kota Mojokerto	Rp9.000
Kabupaten Pasuruan	Rp8.900
Kabupaten Lumajang	Rp8.666
Kabupaten Tulungagung	Rp8.666
Kabupaten Blitar	Rp8.500
Kabupaten Ponorogo	Rp8.500
Kabupaten Sidoarjo	Rp8.500
Kabupaten Ngawi	Rp8.333
Kota Probolinggo	Rp8.333
Kabupaten Bondowoso	Rp8.250
Kabupaten Banyuwangi	Rp8.000
Kabupaten Tuban	Rp7.500
Kabupaten Magetan	Rp7.333
Kabupaten Probolinggo	Rp7.333
Kabupaten Situbondo	Rp7.166
