Kabupaten Sampang	Rp11.000
Kabupaten Bangkalan	Rp10.000
Kabupaten Pamekasan	Rp10.000
Kabupaten Gresik	Rp9.666
Kabupaten Lamongan	Rp9.125
Kabupaten Bojonegoro	Rp9.000
Kabupaten Pacitan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Blitar	Rp9.000
Kota Mojokerto	Rp9.000
Kota Batu	Rp8.875
Kota Malang	Rp8.833
Kota Kediri	Rp8.666
Kota Probolinggo	Rp8.666
Kota Surabaya	Rp8.500
Kabupaten Blitar	Rp8.500
Kabupaten Ponorogo	Rp8.500
Kabupaten Lumajang	Rp8.333
Kabupaten Jombang	Rp8.000
Kabupaten Kediri	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Trenggalek	Rp8.000
Kabupaten Tulungagung	Rp8.000
Kabupaten Tuban	Rp7.833
Kota Pasuruan	Rp7.800
Kabupaten Madiun	Rp7.750
Kabupaten Mojokerto	Rp7.725
Kabupaten Jember	Rp7.600
Kabupaten Malang	Rp7.600
Kabupaten Sidoarjo	Rp7.500
Kabupaten Ngawi	Rp7.333
Kabupaten Pasuruan	Rp7.333
Kota Madiun	Rp7.333
Kabupaten Bondowoso	Rp7.250
Kabupaten Banyuwangi	Rp7.200
Kabupaten Situbondo	Rp7.000
Kabupaten Nganjuk	Rp6.666
Kabupaten Magetan	Rp6.500
