Kabupaten Sampang	Rp11.000
Kabupaten Bangkalan	Rp10.000
Kabupaten Pamekasan	Rp10.000
Kabupaten Gresik	Rp9.666
Kabupaten Lamongan	Rp9.125
Kabupaten Bojonegoro	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Blitar	Rp9.000
Kota Malang	Rp8.833
Kota Surabaya	Rp8.500
Kabupaten Ponorogo	Rp8.500
Kabupaten Trenggalek	Rp8.500
Kota Batu	Rp8.375
Kabupaten Lumajang	Rp8.333
Kabupaten Pacitan	Rp8.333
Kota Kediri	Rp8.000
Kabupaten Blitar	Rp8.000
Kabupaten Jombang	Rp8.000
Kabupaten Kediri	Rp8.000
Kabupaten Ngawi	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Tulungagung	Rp8.000
Kota Madiun	Rp8.000
Kota Mojokerto	Rp8.000
Kota Probolinggo	Rp8.000
Kabupaten Tuban	Rp7.833
Kota Pasuruan	Rp7.800
Kabupaten Madiun	Rp7.750
Kabupaten Mojokerto	Rp7.750
Kabupaten Malang	Rp7.600
Kabupaten Bondowoso	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kabupaten Banyuwangi	Rp7.380
Kabupaten Jember	Rp7.000
Kabupaten Pasuruan	Rp7.000
Kabupaten Situbondo	Rp7.000
Kabupaten Nganjuk	Rp6.666
Kabupaten Magetan	Rp6.500
