Kabupaten Sampang	Rp11.000
Kabupaten Bangkalan	Rp10.000
Kabupaten Pamekasan	Rp10.000
Kabupaten Gresik	Rp9.666
Kabupaten Lamongan	Rp9.125
Kabupaten Bojonegoro	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp9.000
Kota Malang	Rp8.833
Kabupaten Pacitan	Rp8.666
Kota Surabaya	Rp8.500
Kabupaten Trenggalek	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Lumajang	Rp8.333
Kabupaten Jombang	Rp8.000
Kabupaten Kediri	Rp8.000
Kabupaten Madiun	Rp8.000
Kabupaten Ngawi	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kota Madiun	Rp8.000
Kabupaten Tuban	Rp7.833
Kabupaten Mojokerto	Rp7.750
Kabupaten Tulungagung	Rp7.666
Kota Pasuruan	Rp7.650
Kabupaten Banyuwangi	Rp7.500
Kabupaten Blitar	Rp7.500
Kabupaten Sidoarjo	Rp7.500
Kota Mojokerto	Rp7.500
Kota Kediri	Rp7.333
Kabupaten Bondowoso	Rp7.125
Kabupaten Situbondo	Rp7.000
Kota Probolinggo	Rp7.000
Kabupaten Jember	Rp6.800
Kabupaten Nganjuk	Rp6.666
Kabupaten Pasuruan	Rp6.666
Kabupaten Malang	Rp6.600
Kabupaten Magetan	Rp6.500
