Kabupaten Sampang	Rp11.000
Kabupaten Pamekasan	Rp10.000
Kabupaten Gresik	Rp9.666
Kabupaten Bojonegoro	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp8.750
Kota Malang	Rp8.666
Kota Surabaya	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Pacitan	Rp8.333
Kabupaten Madiun	Rp8.000
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Tuban	Rp7.833
Kabupaten Jombang	Rp7.666
Kabupaten Lumajang	Rp7.666
Kabupaten Ngawi	Rp7.666
Kota Madiun	Rp7.666
Kabupaten Banyuwangi	Rp7.500
Kabupaten Lamongan	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Bangkalan	Rp7.333
Kabupaten Kediri	Rp7.333
Kabupaten Tulungagung	Rp7.333
Kabupaten Magetan	Rp7.166
Kota Pasuruan	Rp7.150
Kota Kediri	Rp7.000
Kabupaten Blitar	Rp7.000
Kabupaten Bondowoso	Rp7.000
Kabupaten Situbondo	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Mojokerto	Rp6.937
Kabupaten Jember	Rp6.800
Kabupaten Nganjuk	Rp6.666
Kota Probolinggo	Rp6.666
Kabupaten Sidoarjo	Rp6.500
Kabupaten Pasuruan	Rp6.333
Kabupaten Malang	Rp5.800
