Kabupaten Sampang	Rp11.000
Kabupaten Pamekasan	Rp10.000
Kabupaten Bojonegoro	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp8.750
Kota Surabaya	Rp8.500
Kota Malang	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Pacitan	Rp8.333
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Jombang	Rp7.666
Kabupaten Lumajang	Rp7.666
Kabupaten Tulungagung	Rp7.666
Kota Madiun	Rp7.666
Kabupaten Banyuwangi	Rp7.500
Kabupaten Lamongan	Rp7.500
Kabupaten Madiun	Rp7.375
Kabupaten Gresik	Rp7.333
Kabupaten Ngawi	Rp7.333
Kota Kediri	Rp7.000
Kabupaten Kediri	Rp7.000
Kabupaten Situbondo	Rp7.000
Kota Pasuruan	Rp6.900
Kabupaten Tuban	Rp6.833
Kabupaten Bondowoso	Rp6.750
Kabupaten Trenggalek	Rp6.750
Kabupaten Nganjuk	Rp6.666
Kabupaten Mojokerto	Rp6.650
Kabupaten Blitar	Rp6.500
Kabupaten Sidoarjo	Rp6.500
Kota Mojokerto	Rp6.500
Kabupaten Jember	Rp6.400
Kabupaten Magetan	Rp6.166
Kabupaten Bangkalan	Rp6.000
Kabupaten Pasuruan	Rp6.000
Kota Probolinggo	Rp6.000
Kabupaten Malang	Rp5.400
