Kabupaten Pamekasan	Rp12.000
Kabupaten Sampang	Rp11.500
Kabupaten Gresik	Rp10.333
Kabupaten Bangkalan	Rp10.000
Kabupaten Bojonegoro	Rp10.000
Kota Kediri	Rp9.333
Kabupaten Lamongan	Rp9.125
Kabupaten Blitar	Rp9.000
Kabupaten Jombang	Rp9.000
Kabupaten Kediri	Rp9.000
Kabupaten Pacitan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Madiun	Rp9.000
Kota Mojokerto	Rp9.000
Kabupaten Mojokerto	Rp8.975
Kota Malang	Rp8.833
Kota Batu	Rp8.750
Kabupaten Lumajang	Rp8.666
Kota Probolinggo	Rp8.666
Kota Pasuruan	Rp8.650
Kota Surabaya	Rp8.500
Kabupaten Madiun	Rp8.500
Kabupaten Ponorogo	Rp8.500
Kabupaten Sidoarjo	Rp8.500
Kabupaten Trenggalek	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Tulungagung	Rp8.333
Kabupaten Ngawi	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Jember	Rp7.800
Kabupaten Bondowoso	Rp7.750
Kabupaten Tuban	Rp7.500
Kabupaten Banyuwangi	Rp7.400
Kabupaten Malang	Rp7.400
Kabupaten Magetan	Rp7.333
Kabupaten Nganjuk	Rp7.333
Kabupaten Pasuruan	Rp7.000
Kabupaten Situbondo	Rp7.000
