Kabupaten Sampang	Rp11.000
Kabupaten Gresik	Rp10.333
Kabupaten Bangkalan	Rp10.000
Kabupaten Pamekasan	Rp10.000
Kota Batu	Rp9.250
Kabupaten Lamongan	Rp9.125
Kabupaten Bojonegoro	Rp9.000
Kabupaten Pacitan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Mojokerto	Rp9.000
Kota Malang	Rp8.833
Kota Kediri	Rp8.666
Kota Probolinggo	Rp8.666
Kota Surabaya	Rp8.500
Kabupaten Blitar	Rp8.500
Kabupaten Ponorogo	Rp8.500
Kabupaten Sidoarjo	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Kediri	Rp8.333
Kabupaten Lumajang	Rp8.333
Kota Pasuruan	Rp8.100
Kabupaten Jombang	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Trenggalek	Rp8.000
Kabupaten Tulungagung	Rp8.000
Kabupaten Tuban	Rp7.833
Kabupaten Madiun	Rp7.750
Kabupaten Mojokerto	Rp7.725
Kabupaten Ngawi	Rp7.666
Kabupaten Jember	Rp7.600
Kabupaten Malang	Rp7.600
Kabupaten Bondowoso	Rp7.500
Kota Madiun	Rp7.333
Kabupaten Banyuwangi	Rp7.200
Kabupaten Nganjuk	Rp7.000
Kabupaten Pasuruan	Rp7.000
Kabupaten Situbondo	Rp7.000
Kabupaten Magetan	Rp6.500
