Kabupaten Pamekasan	Rp10.000
Kabupaten Bojonegoro	Rp9.000
Kabupaten Sampang	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Surabaya	Rp8.500
Kota Malang	Rp8.500
Kota Blitar	Rp8.500
Kabupaten Pacitan	Rp8.333
Kota Batu	Rp8.250
Kabupaten Ponorogo	Rp8.000
Kabupaten Probolinggo	Rp8.000
Kabupaten Gresik	Rp7.666
Kabupaten Jombang	Rp7.666
Kabupaten Tulungagung	Rp7.666
Kota Madiun	Rp7.666
Kabupaten Banyuwangi	Rp7.600
Kabupaten Lamongan	Rp7.500
Kabupaten Madiun	Rp7.375
Kabupaten Kediri	Rp7.333
Kabupaten Situbondo	Rp7.333
Kota Kediri	Rp7.000
Kabupaten Lumajang	Rp7.000
Kabupaten Ngawi	Rp7.000
Kabupaten Tuban	Rp6.833
Kabupaten Nganjuk	Rp6.666
Kabupaten Mojokerto	Rp6.650
Kabupaten Bondowoso	Rp6.625
Kabupaten Blitar	Rp6.500
Kabupaten Sidoarjo	Rp6.500
Kabupaten Trenggalek	Rp6.500
Kota Mojokerto	Rp6.500
Kabupaten Jember	Rp6.200
Kabupaten Magetan	Rp6.166
Kabupaten Pasuruan	Rp6.166
Kabupaten Bangkalan	Rp6.000
Kota Pasuruan	Rp5.650
Kabupaten Malang	Rp5.400
Kota Probolinggo	Rp5.000
