Kabupaten Sampang	Rp16.500
Kabupaten Pamekasan	Rp10.000
Kota Batu	Rp9.250
Kota Blitar	Rp9.000
Kabupaten Gresik	Rp8.666
Kota Mojokerto	Rp8.500
Kabupaten Pacitan	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Surabaya	Rp8.166
Kabupaten Ngawi	Rp8.000
Kabupaten Tulungagung	Rp8.000
Kota Malang	Rp7.666
Kabupaten Jombang	Rp7.666
Kabupaten Situbondo	Rp7.666
Kabupaten Ponorogo	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Lamongan	Rp7.375
Kabupaten Kediri	Rp7.333
Kabupaten Tuban	Rp7.166
Kota Kediri	Rp7.000
Kabupaten Blitar	Rp7.000
Kabupaten Bojonegoro	Rp7.000
Kabupaten Nganjuk	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Pasuruan	Rp6.833
Kota Madiun	Rp6.833
Kabupaten Banyuwangi	Rp6.400
Kabupaten Mojokerto	Rp6.350
Kabupaten Lumajang	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Jember	Rp5.800
Kota Pasuruan	Rp5.800
Kabupaten Malang	Rp5.400
Kabupaten Bondowoso	Rp5.125
Kota Probolinggo	Rp4.666
