Kabupaten Pamekasan	Rp9.000
Kabupaten Gresik	Rp8.666
Kabupaten Sampang	Rp8.500
Kota Batu	Rp8.375
Kabupaten Madiun	Rp8.250
Kota Surabaya	Rp8.000
Kota Malang	Rp8.000
Kabupaten Ngawi	Rp7.666
Kabupaten Pacitan	Rp7.666
Kota Madiun	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Ponorogo	Rp7.500
Kota Blitar	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Lumajang	Rp7.333
Kabupaten Situbondo	Rp7.333
Kabupaten Tuban	Rp7.166
Kabupaten Bojonegoro	Rp7.000
Kabupaten Lamongan	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Trenggalek	Rp7.000
Kabupaten Tulungagung	Rp7.000
Kabupaten Kediri	Rp6.666
Kabupaten Magetan	Rp6.666
Kabupaten Banyuwangi	Rp6.600
Kabupaten Pasuruan	Rp6.500
Kabupaten Sidoarjo	Rp6.500
Kabupaten Bangkalan	Rp6.333
Kabupaten Nganjuk	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kota Pasuruan	Rp6.300
Kota Kediri	Rp6.000
Kabupaten Mojokerto	Rp6.000
Kota Mojokerto	Rp6.000
Kabupaten Bondowoso	Rp5.500
Kabupaten Jember	Rp5.400
Kabupaten Malang	Rp5.400
Kota Probolinggo	Rp4.333
