Kabupaten Sampang	Rp16.500
Kabupaten Pamekasan	Rp9.000
Kota Blitar	Rp9.000
Kabupaten Gresik	Rp8.666
Kota Mojokerto	Rp8.500
Kota Batu	Rp8.375
Kabupaten Pacitan	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Surabaya	Rp8.166
Kabupaten Blitar	Rp8.000
Kabupaten Ngawi	Rp8.000
Kota Malang	Rp7.666
Kabupaten Jombang	Rp7.666
Kabupaten Situbondo	Rp7.666
Kabupaten Ponorogo	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kota Kediri	Rp7.333
Kabupaten Kediri	Rp7.333
Kabupaten Tulungagung	Rp7.333
Kabupaten Lamongan	Rp7.250
Kabupaten Tuban	Rp7.166
Kabupaten Bojonegoro	Rp7.000
Kabupaten Nganjuk	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Pasuruan	Rp6.833
Kota Madiun	Rp6.833
Kabupaten Mojokerto	Rp6.600
Kabupaten Sidoarjo	Rp6.500
Kabupaten Banyuwangi	Rp6.400
Kabupaten Lumajang	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Malang	Rp5.800
Kota Pasuruan	Rp5.800
Kabupaten Jember	Rp5.600
Kabupaten Bondowoso	Rp5.125
Kota Probolinggo	Rp4.666
