Kabupaten Pamekasan	Rp9.000
Kabupaten Madiun	Rp8.250
Kota Batu	Rp8.250
Kota Surabaya	Rp8.000
Kota Malang	Rp8.000
Kabupaten Gresik	Rp8.000
Kabupaten Pacitan	Rp8.000
Kabupaten Ngawi	Rp7.666
Kota Madiun	Rp7.666
Kabupaten Ponorogo	Rp7.500
Kabupaten Sampang	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kota Blitar	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Situbondo	Rp7.333
Kabupaten Tuban	Rp7.166
Kabupaten Blitar	Rp7.000
Kabupaten Bojonegoro	Rp7.000
Kabupaten Lamongan	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Tulungagung	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Banyuwangi	Rp6.800
Kabupaten Kediri	Rp6.666
Kabupaten Lumajang	Rp6.666
Kabupaten Pasuruan	Rp6.500
Kabupaten Sidoarjo	Rp6.500
Kota Kediri	Rp6.333
Kabupaten Bangkalan	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kabupaten Nganjuk	Rp6.000
Kota Mojokerto	Rp6.000
Kota Pasuruan	Rp5.850
Kabupaten Mojokerto	Rp5.700
Kabupaten Jember	Rp5.600
Kabupaten Malang	Rp5.400
Kabupaten Bondowoso	Rp5.000
Kota Probolinggo	Rp4.666
