Kabupaten Sampang	Rp20.500
Kabupaten Pamekasan	Rp10.000
Kota Blitar	Rp9.500
Kabupaten Ngawi	Rp9.000
Kota Batu	Rp9.000
Kabupaten Gresik	Rp8.666
Kabupaten Pacitan	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Tulungagung	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Surabaya	Rp8.166
Kota Malang	Rp7.666
Kota Kediri	Rp7.666
Kabupaten Jombang	Rp7.666
Kabupaten Nganjuk	Rp7.666
Kabupaten Ponorogo	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Lamongan	Rp7.375
Kabupaten Mojokerto	Rp7.350
Kabupaten Kediri	Rp7.333
Kabupaten Pasuruan	Rp7.166
Kabupaten Tuban	Rp7.166
Kota Madiun	Rp7.166
Kabupaten Blitar	Rp7.000
Kabupaten Bojonegoro	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Situbondo	Rp6.666
Kabupaten Banyuwangi	Rp6.600
Kabupaten Lumajang	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Jember	Rp5.800
Kota Pasuruan	Rp5.800
Kabupaten Malang	Rp5.600
Kabupaten Bondowoso	Rp5.125
Kota Probolinggo	Rp5.000
