Kabupaten Sampang	Rp10.000
Kabupaten Pamekasan	Rp9.000
Kota Blitar	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Situbondo	Rp8.333
Kabupaten Madiun	Rp8.250
Kota Malang	Rp8.000
Kabupaten Blitar	Rp8.000
Kabupaten Gresik	Rp8.000
Kabupaten Ngawi	Rp8.000
Kabupaten Pacitan	Rp8.000
Kabupaten Trenggalek	Rp8.000
Kota Batu	Rp7.875
Kota Surabaya	Rp7.833
Kota Madiun	Rp7.666
Kabupaten Ponorogo	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Kediri	Rp7.333
Kabupaten Tulungagung	Rp7.333
Kabupaten Tuban	Rp7.166
Kabupaten Bojonegoro	Rp7.000
Kabupaten Lumajang	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Mojokerto	Rp6.875
Kabupaten Lamongan	Rp6.750
Kota Kediri	Rp6.666
Kabupaten Magetan	Rp6.666
Kabupaten Nganjuk	Rp6.666
Kabupaten Banyuwangi	Rp6.600
Kabupaten Pasuruan	Rp6.500
Kabupaten Probolinggo	Rp6.333
Kota Pasuruan	Rp6.100
Kabupaten Bangkalan	Rp6.000
Kabupaten Jember	Rp5.800
Kabupaten Malang	Rp5.400
Kabupaten Bondowoso	Rp5.375
Kota Probolinggo	Rp4.666
