Kabupaten Pamekasan	Rp9.000
Kabupaten Gresik	Rp8.666
Kota Batu	Rp8.375
Kabupaten Madiun	Rp8.250
Kota Surabaya	Rp8.166
Kota Malang	Rp8.000
Kabupaten Pacitan	Rp8.000
Kabupaten Ngawi	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Ponorogo	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kota Blitar	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Tuban	Rp7.166
Kabupaten Banyuwangi	Rp7.100
Kabupaten Bojonegoro	Rp7.000
Kabupaten Sampang	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Situbondo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kota Madiun	Rp7.000
Kota Mojokerto	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Lamongan	Rp6.750
Kabupaten Kediri	Rp6.666
Kabupaten Lumajang	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Mojokerto	Rp6.500
Kota Kediri	Rp6.333
Kabupaten Bangkalan	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kabupaten Pasuruan	Rp6.166
Kota Pasuruan	Rp6.150
Kabupaten Jember	Rp6.000
Kabupaten Nganjuk	Rp6.000
Kabupaten Malang	Rp5.400
Kota Probolinggo	Rp5.333
Kabupaten Bondowoso	Rp5.000
