Kabupaten Sampang	Rp11.000
Kota Mojokerto	Rp9.500
Kabupaten Pamekasan	Rp9.000
Kabupaten Gresik	Rp8.666
Kota Malang	Rp8.333
Kabupaten Madiun	Rp8.250
Kabupaten Bojonegoro	Rp8.000
Kabupaten Ngawi	Rp8.000
Kabupaten Pacitan	Rp8.000
Kota Batu	Rp8.000
Kota Blitar	Rp8.000
Kota Surabaya	Rp7.833
Kabupaten Situbondo	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Ponorogo	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Jombang	Rp7.333
Kabupaten Kediri	Rp7.333
Kabupaten Tulungagung	Rp7.333
Kota Madiun	Rp7.333
Kabupaten Pasuruan	Rp7.166
Kabupaten Tuban	Rp7.166
Kabupaten Mojokerto	Rp7.125
Kabupaten Lamongan	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Sumenep	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Lumajang	Rp6.666
Kabupaten Nganjuk	Rp6.666
Kabupaten Banyuwangi	Rp6.500
Kota Kediri	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kota Pasuruan	Rp6.000
Kabupaten Jember	Rp5.800
Kabupaten Malang	Rp5.800
Kabupaten Bondowoso	Rp5.125
Kota Probolinggo	Rp4.666
