no,commodity,date,avg_price
1,tomat,2024-05-01,19249.605263157893
2,tomat,2024-05-02,18944.342105263157
3,tomat,2024-05-03,18456.894736842107
4,tomat,2024-05-04,18256.657894736843
5,tomat,2024-05-05,18197.21052631579
6,tomat,2024-05-06,17693.5
7,tomat,2024-05-07,17577.263157894737
8,tomat,2024-05-08,17639.315789473683
9,tomat,2024-05-09,17732.315789473683
10,tomat,2024-05-10,17584.973684210527
11,tomat,2024-05-11,17672.42105263158
12,tomat,2024-05-12,17811.92105263158
13,tomat,2024-05-13,18678.815789473683
14,tomat,2024-05-14,19268.263157894737
15,tomat,2024-05-15,20263.0
16,tomat,2024-05-16,20982.07894736842
17,tomat,2024-05-17,20995.92105263158
18,tomat,2024-05-18,21014.552631578947
19,tomat,2024-05-19,20927.052631578947
20,tomat,2024-05-20,20334.71052631579
21,tomat,2024-05-21,19879.28947368421
22,tomat,2024-05-22,19344.157894736843
23,tomat,2024-05-23,19261.894736842107
24,tomat,2024-05-24,18993.763157894737
25,tomat,2024-05-25,18835.0
26,tomat,2024-05-26,18655.184210526317
27,tomat,2024-05-27,17590.71052631579
