no,commodity,date,avg_price
1,cabe_rawit_merah,2024-03-01,51921.94736842105
2,cabe_rawit_merah,2024-03-02,51507.94736842105
3,cabe_rawit_merah,2024-03-03,51909.89473684211
4,cabe_rawit_merah,2024-03-04,53228.57894736842
5,cabe_rawit_merah,2024-03-05,54214.07894736842
6,cabe_rawit_merah,2024-03-06,52350.97368421053
7,cabe_rawit_merah,2024-03-07,51625.47368421053
8,cabe_rawit_merah,2024-03-08,51023.78947368421
9,cabe_rawit_merah,2024-03-09,51220.44736842105
10,cabe_rawit_merah,2024-03-10,50490.84210526316
11,cabe_rawit_merah,2024-03-11,48048.10526315789
12,cabe_rawit_merah,2024-03-12,47884.23684210526
13,cabe_rawit_merah,2024-03-13,49559.47368421053
14,cabe_rawit_merah,2024-03-14,48520.92105263158
15,cabe_rawit_merah,2024-03-15,45307.26315789474
16,cabe_rawit_merah,2024-03-16,42091.07894736842
17,cabe_rawit_merah,2024-03-17,41126.57894736842
18,cabe_rawit_merah,2024-03-18,38431.89473684211
19,cabe_rawit_merah,2024-03-19,36954.65789473684
20,cabe_rawit_merah,2024-03-20,35232.52631578947
21,cabe_rawit_merah,2024-03-21,32627.947368421053
22,cabe_rawit_merah,2024-03-22,32539.736842105263
23,cabe_rawit_merah,2024-03-23,32238.63157894737
24,cabe_rawit_merah,2024-03-24,31525.526315789473
25,cabe_rawit_merah,2024-03-25,29276.184210526317
26,cabe_rawit_merah,2024-03-26,28348.105263157893
27,cabe_rawit_merah,2024-03-27,27896.763157894737
28,cabe_rawit_merah,2024-03-28,27735.394736842107
29,cabe_rawit_merah,2024-03-29,27546.78947368421
30,cabe_rawit_merah,2024-03-30,27597.447368421053
31,cabe_rawit_merah,2024-03-31,27558.0
