Kabupaten Sampang	Rp11.000
Kota Surabaya	Rp10.416
Kabupaten Sidoarjo	Rp10.000
Kota Madiun	Rp9.833
Kabupaten Bangkalan	Rp9.666
Kota Malang	Rp9.500
Kabupaten Pamekasan	Rp9.500
Kabupaten Gresik	Rp9.000
Kota Blitar	Rp9.000
Kota Pasuruan	Rp8.650
Kota Batu	Rp8.500
Kota Mojokerto	Rp8.500
Kabupaten Pasuruan	Rp8.166
Kabupaten Kediri	Rp8.000
Kabupaten Magetan	Rp8.000
Kabupaten Jember	Rp7.800
Kabupaten Sumenep	Rp7.750
Kabupaten Banyuwangi	Rp7.700
Kabupaten Lumajang	Rp7.666
Kabupaten Lamongan	Rp7.500
Kabupaten Malang	Rp7.500
Kabupaten Pacitan	Rp7.250
Kabupaten Ngawi	Rp7.166
Kabupaten Jombang	Rp7.000
Kabupaten Mojokerto	Rp7.000
Kabupaten Situbondo	Rp6.833
Kota Probolinggo	Rp6.833
Kabupaten Ponorogo	Rp6.750
Kabupaten Trenggalek	Rp6.750
Kabupaten Probolinggo	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kabupaten Bojonegoro	Rp6.500
Kabupaten Nganjuk	Rp6.500
Kabupaten Tuban	Rp6.333
Kabupaten Bondowoso	Rp6.250
Kota Kediri	Rp6.000
Kabupaten Blitar	Rp6.000
Kabupaten Madiun	Rp6.000
