Kabupaten Sampang	Rp11.000
Kota Surabaya	Rp10.416
Kabupaten Sidoarjo	Rp10.000
Kota Madiun	Rp9.833
Kota Malang	Rp9.500
Kabupaten Pamekasan	Rp9.500
Kota Mojokerto	Rp9.500
Kabupaten Bangkalan	Rp9.333
Kabupaten Gresik	Rp9.000
Kota Blitar	Rp9.000
Kabupaten Jember	Rp8.875
Kota Pasuruan	Rp8.650
Kota Batu	Rp8.625
Kabupaten Kediri	Rp8.500
Kabupaten Nganjuk	Rp8.500
Kabupaten Banyuwangi	Rp8.400
Kabupaten Pasuruan	Rp8.166
Kabupaten Malang	Rp8.100
Kabupaten Magetan	Rp8.066
Kabupaten Sumenep	Rp7.750
Kabupaten Lumajang	Rp7.666
Kabupaten Trenggalek	Rp7.500
Kabupaten Tuban	Rp7.500
Kabupaten Lamongan	Rp7.250
Kabupaten Pacitan	Rp7.250
Kabupaten Ngawi	Rp7.166
Kota Probolinggo	Rp7.166
Kabupaten Jombang	Rp7.000
Kabupaten Situbondo	Rp7.000
Kabupaten Tulungagung	Rp7.000
Kabupaten Mojokerto	Rp6.950
Kabupaten Bondowoso	Rp6.750
Kabupaten Ponorogo	Rp6.675
Kabupaten Probolinggo	Rp6.666
Kota Kediri	Rp6.500
Kabupaten Bojonegoro	Rp6.500
Kabupaten Madiun	Rp6.250
Kabupaten Blitar	Rp6.000
