Kabupaten Sampang	Rp11.000
Kota Surabaya	Rp10.750
Kabupaten Sidoarjo	Rp10.000
Kota Madiun	Rp9.833
Kabupaten Bangkalan	Rp9.666
Kabupaten Pamekasan	Rp9.500
Kota Malang	Rp9.333
Kabupaten Gresik	Rp9.000
Kota Blitar	Rp9.000
Kota Pasuruan	Rp8.650
Kabupaten Pasuruan	Rp8.166
Kota Batu	Rp8.125
Kabupaten Jember	Rp7.800
Kabupaten Sumenep	Rp7.750
Kota Mojokerto	Rp7.750
Kabupaten Banyuwangi	Rp7.700
Kabupaten Malang	Rp7.600
Kabupaten Lumajang	Rp7.500
Kabupaten Kediri	Rp7.333
Kabupaten Lamongan	Rp7.250
Kabupaten Pacitan	Rp7.250
Kabupaten Ngawi	Rp7.166
Kabupaten Jombang	Rp7.000
Kabupaten Mojokerto	Rp7.000
Kabupaten Ponorogo	Rp6.750
Kabupaten Probolinggo	Rp6.666
Kabupaten Situbondo	Rp6.666
Kabupaten Tulungagung	Rp6.666
Kota Probolinggo	Rp6.666
Kota Kediri	Rp6.500
Kabupaten Bojonegoro	Rp6.500
Kabupaten Nganjuk	Rp6.500
Kabupaten Trenggalek	Rp6.500
Kabupaten Tuban	Rp6.333
Kabupaten Bondowoso	Rp6.250
Kabupaten Blitar	Rp6.000
Kabupaten Madiun	Rp6.000
Kabupaten Magetan	Rp5.833
