Kabupaten Sidoarjo	Rp13.000
Kabupaten Sampang	Rp11.000
Kota Madiun	Rp9.833
Kota Surabaya	Rp9.700
Kabupaten Kediri	Rp9.500
Kabupaten Pamekasan	Rp9.500
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Nganjuk	Rp9.333
Kabupaten Lamongan	Rp9.250
Kabupaten Gresik	Rp9.000
Kota Blitar	Rp9.000
Kota Mojokerto	Rp9.000
Kabupaten Jember	Rp8.875
Kota Batu	Rp8.875
Kabupaten Lumajang	Rp8.833
Kabupaten Bondowoso	Rp8.750
Kota Pasuruan	Rp8.650
Kabupaten Magetan	Rp8.600
Kabupaten Banyuwangi	Rp8.400
Kabupaten Jombang	Rp8.166
Kabupaten Pasuruan	Rp8.166
Kabupaten Malang	Rp8.000
Kabupaten Trenggalek	Rp8.000
Kabupaten Sumenep	Rp7.750
Kabupaten Tuban	Rp7.666
Kota Probolinggo	Rp7.500
Kabupaten Situbondo	Rp7.333
Kabupaten Pacitan	Rp7.250
Kabupaten Ngawi	Rp7.166
Kabupaten Tulungagung	Rp7.000
Kabupaten Mojokerto	Rp6.950
Kota Kediri	Rp6.750
Kabupaten Ponorogo	Rp6.675
Kabupaten Probolinggo	Rp6.666
Kabupaten Bojonegoro	Rp6.500
Kabupaten Madiun	Rp6.250
Kabupaten Blitar	Rp6.000
